"Step","playful-oath-296 - Percentage of times the goal was reached through time","playful-oath-296 - Percentage of times the goal was reached through time__MIN","playful-oath-296 - Percentage of times the goal was reached through time__MAX"
"121","0.319672131147541","0.319672131147541","0.319672131147541"
"122","0.3252032520325203","0.3252032520325203","0.3252032520325203"
"123","0.33064516129032256","0.33064516129032256","0.33064516129032256"
"124","0.328","0.328","0.328"
"125","0.3253968253968254","0.3253968253968254","0.3253968253968254"
"126","0.3228346456692913","0.3228346456692913","0.3228346456692913"
"127","0.3203125","0.3203125","0.3203125"
"128","0.3178294573643411","0.3178294573643411","0.3178294573643411"
"129","0.3153846153846154","0.3153846153846154","0.3153846153846154"
"130","0.32061068702290074","0.32061068702290074","0.32061068702290074"
"131","0.3181818181818182","0.3181818181818182","0.3181818181818182"
"132","0.3233082706766917","0.3233082706766917","0.3233082706766917"
"133","0.3208955223880597","0.3208955223880597","0.3208955223880597"
"134","0.31851851851851853","0.31851851851851853","0.31851851851851853"
"135","0.3161764705882353","0.3161764705882353","0.3161764705882353"
"136","0.31386861313868614","0.31386861313868614","0.31386861313868614"
"137","0.3188405797101449","0.3188405797101449","0.3188405797101449"
"138","0.3237410071942446","0.3237410071942446","0.3237410071942446"
"139","0.32142857142857145","0.32142857142857145","0.32142857142857145"
"140","0.3191489361702128","0.3191489361702128","0.3191489361702128"
"141","0.31690140845070425","0.31690140845070425","0.31690140845070425"
"142","0.32167832167832167","0.32167832167832167","0.32167832167832167"
"143","0.3194444444444444","0.3194444444444444","0.3194444444444444"
"144","0.31724137931034485","0.31724137931034485","0.31724137931034485"
"145","0.3150684931506849","0.3150684931506849","0.3150684931506849"
"146","0.3129251700680272","0.3129251700680272","0.3129251700680272"
"147","0.31756756756756754","0.31756756756756754","0.31756756756756754"
"148","0.31543624161073824","0.31543624161073824","0.31543624161073824"
"149","0.31333333333333335","0.31333333333333335","0.31333333333333335"
"150","0.31125827814569534","0.31125827814569534","0.31125827814569534"
"151","0.3092105263157895","0.3092105263157895","0.3092105263157895"
"152","0.3137254901960784","0.3137254901960784","0.3137254901960784"
"153","0.3116883116883117","0.3116883116883117","0.3116883116883117"
"154","0.3096774193548387","0.3096774193548387","0.3096774193548387"
"155","0.3141025641025641","0.3141025641025641","0.3141025641025641"
"156","0.31210191082802546","0.31210191082802546","0.31210191082802546"
"157","0.310126582278481","0.310126582278481","0.310126582278481"
"158","0.31446540880503143","0.31446540880503143","0.31446540880503143"
"159","0.3125","0.3125","0.3125"
"160","0.3167701863354037","0.3167701863354037","0.3167701863354037"
"161","0.3148148148148148","0.3148148148148148","0.3148148148148148"
"162","0.31901840490797545","0.31901840490797545","0.31901840490797545"
"163","0.3231707317073171","0.3231707317073171","0.3231707317073171"
